SEASON,SITE,DUGESIA,S4DUGES
WINTER      ,1, 0.6476829,0.8970995
WINTER      ,1, 6.0961516,1.5713175
WINTER      ,1, 1.3105639,1.0699526
WINTER      ,1, 1.7252788,1.1460797
WINTER      ,1, 1.4593867,1.0991136
WINTER      ,1, 1.0575610,1.0140897
WINTER      ,2, 1.0162980,1.0040498
WINTER      ,2,16.1967938,2.0061216
WINTER      ,2, 1.1680815,1.0396048
WINTER      ,2, 1.0242991,1.0060202
WINTER      ,2, 2.0113331,1.1908882
WINTER      ,2, 3.6746411,1.3845343
WINTER      ,3, 0.6891478,0.9111253
WINTER      ,3, 1.2191255,1.0507807
WINTER      ,3, 1.1131387,1.0271582
WINTER      ,3, 0.6569404,0.9002881
WINTER      ,3, 0.1361474,0.6074385
WINTER      ,3, 0.2547378,0.7104333
SUMMER      ,4, 0.0000000,0.0000000
SUMMER      ,4, 0.0000000,0.0000000
SUMMER      ,4, 0.9410876,0.9849349
SUMMER      ,4, 0.0000000,0.0000000
SUMMER      ,4, 0.0000000,0.0000000
SUMMER      ,4, 1.5734807,1.1199931
SUMMER      ,5, 1.3745174,1.0827734
SUMMER      ,5, 0.0000000,0.0000000
SUMMER      ,5, 0.0000000,0.0000000
SUMMER      ,5, 0.0000000,0.0000000
SUMMER      ,5, 0.0000000,0.0000000
SUMMER      ,5, 0.0000000,0.0000000
SUMMER      ,6, 0.0000000,0.0000000
SUMMER      ,6, 0.0000000,0.0000000
SUMMER      ,6, 0.1328854,0.6037669
SUMMER      ,6, 0.0000000,0.0000000
SUMMER      ,6, 0.6580407,0.9006648
SUMMER      ,6, 0.3745397,0.7823021
